"#name","#img","School","City","Country","Description","Forest Health","Insect Damage","Insects Identified","RecentFire","Year of Last Fire","Coniferous Trees","Deciduous Trees","Bushes Present","Tall Grass Present","Deadwood on the floor","Standing Deadwood","Lichens","Lichen Branches","New Trees","Old Trees","Protected Area","Managed Forest?","Evidence of Logging","Average Precipitation this Year","Average Temperature this Year","River, Lake or Spring Nearby?","Distance to Major Road","Distance to Settlement","Date#date","Latitude#number","Longitude#number","#href","See it in GFW#link#hidden"
"Photo 7","default","МБОУ СОШ № 55","г. Астрахань","Russia","Береговая зона реки Волга занята Ивами, которые в половодье  погружаются на 50см. в воду, а остальную часть занимает адвентивное растение  дурнишник обыкновенный .","Fair","No","","No","","Below 25%","50-75%","No","Yes","Large amount","Large amount","Yes","No","25-50%","25-50%","No","I don't know","Yes","Wetter","Warmer","Yes","0-1km","1-2km","9/20/2015","45.706179","48.427734","http://www.globalforestwatch.org/map/13/45.706179/48.427734/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/48.427734/http://www.globalforestwatch.org/map/13/45.706179/48.427734/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 8","default","МБОУ г. Астрахань ""Лицей №2 им. В.В. Разуваева"")","г. Астрахань","Russia","Ленточный лес возле реки Рыча.","Fair","Yes","","Yes","2012","Below 25%","Above 75%","Yes","Yes","Large amount","Large amount","Yes","No","25-50%","25-50%","No","No","Yes","Wetter","Warmer","Yes","2-5km","2-5km","9/27/2015","46.496502","48.04184","http://www.globalforestwatch.org/map/13/46.496502/48.041840/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/48.041840/http://www.globalforestwatch.org/map/13/46.496502/48.041840/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 9","default","МБОУ г. Астрахань ""Лицей №2 им. В.В. Разуваева"")","г. Астрахань","Russia","На фото  клен пенсильванский, который  сломан или обрублен, это дело рук человека.","Fair","No","","No","","Below 25%","50-75%","Yes","No","Small amount","Small amount","Yes","No","Below 25%","25-50%","Yes","No","Yes","Wetter","Warmer","Yes","2-5km","2-5km","9/20/2015","46.048455","48.066559","http://www.globalforestwatch.org/map/13/46.048455/48.066559/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/48.066559/http://www.globalforestwatch.org/map/13/46.048455/48.066559/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 16","default","МБОУ г. Астрахань ""Лицей №2 им. В.В. Разуваева"")","г. Астрахань","Russia","Клен пенсильванский  прижился в Астраханской области по берегам реки Волга.","Fair","No","","No","","Below 25%","50-75%","Yes","Yes","Small amount","Small amount","Yes","No","25-50%","Below 25%","No","No","Yes","Wetter","Warmer","Yes","0-1km","2-5km","10/27/2015","46.377254","47.999268","http://www.globalforestwatch.org/map/13/46.377254/47.999268/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/47.999268/http://www.globalforestwatch.org/map/13/46.377254/47.999268/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 17","default","МБОУ г. Астрахань ""Лицей №2 им. В.В. Разуваева"")","г. Астрахань","Russia","Многие деревья  населяют грибы.Это значит , что древесина этих деревьев  начала разрушаться.","Fair","No","","No","","Below 25%","50-75%","No","No","Small amount","Small amount","Yes","No","50-75%","25-50%","No","No","No","Wetter","Warmer","Yes","0-1km","5-10km","11/15/2015","47.635784","47.746582","http://www.globalforestwatch.org/map/13/47.635784/47.746582/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/47.746582/http://www.globalforestwatch.org/map/13/47.635784/47.746582/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 18","default","МБОУ г. Астрахань ""Лицей №2 им. В.В. Разуваева"")","г. Астрахань","Russia","Это лесополоса вдоль реки Рыча. Благоприятная обстановка для деревьев и кустарников","Fair","No","","No","","Below 25%","Above 75%","Yes","Yes","Small amount","Small amount","Yes","No","Below 25%","Below 25%","No","No","No","Wetter","Warmer","Yes","0-1km","5-10km","","47.040182","47.713623","http://www.globalforestwatch.org/map/13/47.040182/47.713623/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/47.713623/http://www.globalforestwatch.org/map/13/47.040182/47.713623/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 19","default","МБОУ г. Астрахань ""Лицей №2 им. В.В. Разуваева"")","г. Астрахань","Russia","Село Растопуловка расположено на берегу  реки Волга. Вдоль тянуться ленточные леса, которые вырубаются местным населением.","Poor","No","","No","","Below 25%","Above 75%","Yes","Yes","Large amount","Very large amount","Yes","No","50-75%","25-50%","No","No","Yes","Wetter","Warmer","Yes","0-1km","2-5km","11/8/2015","46.539971","48.02948","http://www.globalforestwatch.org/map/13/46.539971/48.029480/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/48.029480/http://www.globalforestwatch.org/map/13/46.539971/48.029480/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 20","default","МБОУ СОШ № 55","г. Астрахань","Russia","Поваленное дерево говорит о том, что лес старый , а молодых деревьев мало. Не хватает влаги для произрастания подроста.","Fair","Yes","","No","","Below 25%","Above 75%","No","No","Large amount","Large amount","Yes","No","Below 25%","50-75%","No","No","No","Wetter","Warmer","Yes","0-1km","1-2km","10/11/2015","46.407564","47.834473","http://www.globalforestwatch.org/map/13/46.407564/47.834473/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/47.834473/http://www.globalforestwatch.org/map/13/46.407564/47.834473/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 21","default","МБОУ г. Астрахань ""Лицей №2 им. В.В. Разуваева"")","г. Астрахань","Russia","Вяз, ива, клен, тополь составляют основу ленточных лесов  Астраханской области.Вот так выглядит лес.","Fair","No","","No","","Below 25%","Above 75%","No","No","Large amount","Large amount","Yes","No","25-50%","25-50%","No","No","No","Wetter","Warmer","Yes","0-1km","1-2km","11/29/2015","46.498392","48.004761","http://www.globalforestwatch.org/map/13/46.498392/48.004761/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/48.004761/http://www.globalforestwatch.org/map/13/46.498392/48.004761/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 291","default","МБУДО Дом творчества «Успех»","г. Астрахань","Russia","Деревья затоплены водой , так как в мае половодье и деревья будут стоять в воде до конца июня , пока не спадет вода.","Fair","No","","No","","Below 25%","Above 75%","Yes","Yes","Large amount","Large amount","Yes","No","Below 25%","25-50%","No","No","Yes","Wetter","Warmer","Yes","2-5km","2-5km","5/22/2016","46.604167","48.043213","http://www.globalforestwatch.org/map/13/46.604167/48.043213/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/48.043213/http://www.globalforestwatch.org/map/13/46.604167/48.043213/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 292","default","МБУДО Дом творчества «Успех»","г. Астрахань","Russia","Реликтовое дерево - Лох серебристый. Образует крахмальные орешки, которые можно есть.","Fair","No","","No","","Below 25%","Above 75%","Yes","Yes","Large amount","Large amount","Yes","No","Below 25%","Below 25%","No","No","No","Wetter","Warmer","Yes","2-5km","2-5km","5/22/2016","46.437857","47.944336","http://www.globalforestwatch.org/map/13/46.437857/47.944336/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/47.944336/http://www.globalforestwatch.org/map/13/46.437857/47.944336/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 293","default","МБУДО Дом творчества «Успех»","г. Астрахань","Russia","Самое распространенное дерево- Ива белая. Образует сплошные полосы по берегам рек.","Fair","I don't know","","No","","Below 25%","Above 75%","Yes","Yes","Small amount","Small amount","Yes","No","Below 25%","Below 25%","No","No","No","Wetter","Warmer","Yes","2-5km","2-5km","5/22/2016","46.422713","48.03772","http://www.globalforestwatch.org/map/13/46.422713/48.037720/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/48.037720/http://www.globalforestwatch.org/map/13/46.422713/48.037720/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 294","default","МБУДО Дом творчества «Успех»","г. Астрахань","Russia","Это кустарник Тамарикс.Он растет на засоленных почвах, при цветении  испускает сильный аромат и привлекает к себе бабочек.","Fair","No","","No","","Below 25%","Above 75%","Yes","Yes","Small amount","Small amount","Yes","No","25-50%","Below 25%","No","No","No","Wetter","Warmer","Yes","0-1km","1-2km","5/22/2016","46.528635","48.065186","http://www.globalforestwatch.org/map/13/46.528635/48.065186/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/48.065186/http://www.globalforestwatch.org/map/13/46.528635/48.065186/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 295","default","МБУДО Дом творчества «Успех»","г. Астрахань","Russia","Тополь черный  хорошо приспособлен к высоким температурам.","Fair","No","","No","","Below 25%","Above 75%","Yes","Yes","Small amount","Small amount","Yes","No","Below 25%","25-50%","No","No","Yes","Wetter","Warmer","Yes","1-2km","0-1km","5/22/2016","46.422713","48.131104","http://www.globalforestwatch.org/map/13/46.422713/48.131104/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/48.131104/http://www.globalforestwatch.org/map/13/46.422713/48.131104/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 297","default","МБУДО Дом творчества «Успех»","г. Астрахань","Russia","","Fair","No","","No","","Below 25%","25-50%","Yes","Yes","Virtually absent","Small amount","Yes","Yes","25-50%","50-75%","No","Yes","No","Drier","Warmer","Yes","1-2km","0-1km","5/20/2016","46.396673","48.050766","http://www.globalforestwatch.org/map/13/46.396673/48.050766/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/48.050766/http://www.globalforestwatch.org/map/13/46.396673/48.050766/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 298","default","МБУДО Дом творчества «Успех»","г. Астрахань","Russia","","Excellent","No","","No","","25-50%","Below 25%","Yes","Yes","Small amount","Small amount","Yes","Yes","25-50%","25-50%","No","Yes","No","Wetter","Warmer","Yes","1-2km","0-1km","4/20/2016","46.393832","48.12355","http://www.globalforestwatch.org/map/13/46.393832/48.12355/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/48.12355/http://www.globalforestwatch.org/map/13/46.393832/48.12355/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 302","default","МБУДО Дом творчества «Успех»","г. Астрахань","Russia","","Excellent","No","","No","","Above 75%","Below 25%","Yes","No","Virtually absent","Absent","Yes","Yes","Below 25%","Above 75%","Yes","Yes","No","Normal","Colder","Yes","5-10km","more than 10 km","5/27/2016","46.415139","48.020554","http://www.globalforestwatch.org/map/13/46.415139/48.020554/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/48.020554/http://www.globalforestwatch.org/map/13/46.415139/48.020554/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 283","default","МБОУ Гимназия № 25","г. Иркутск","Russia","Лесопарковая зона в городе Иркутске, плохо сохранена из-за неразумной хозяйственной деятельности людей","Poor","No","","No","","Below 25%","Above 75%","Yes","No","Virtually absent","Very large amount","No","No","25-50%","50-75%","No","No","No","Normal","Warmer","Yes","0-1km","0-1km","5/22/2016","52.288665","104.306554","http://www.globalforestwatch.org/map/13/52.288665/104.306554/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/104.306554/http://www.globalforestwatch.org/map/13/52.288665/104.306554/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 284","default","МБОУ Гимназия № 25","г. Иркутск","Russia","Учитывая, что лес находится в пригороде, он вполне соответствует норме, но неверная  хозяйственная деятельность людей, постепенно приводит к ухудшению его качеств","Fair","No","","Yes","2012","Above 75%","Below 25%","Yes","Yes","Small amount","Small amount","No","No","25-50%","25-50%","No","No","Yes","I don't know","Normal","No","1-2km","2-5km","4/3/2016","54.09501","102.161007","http://www.globalforestwatch.org/map/13/54.095010/102.161007/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/102.161007/http://www.globalforestwatch.org/map/13/54.095010/102.161007/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 285","default","МБОУ Гимназия № 25","г. Иркутск","Russia","","Poor","No","","Yes","2007","Above 75%","Below 25%","Yes","Yes","Large amount","Very large amount","Yes","No","50-75%","25-50%","No","No","No","I don't know","Warmer","Yes","0-1km","more than 10 km","4/30/2016","52.203299","104.4941","http://www.globalforestwatch.org/map/13/52.203299/104.494100/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/104.494100/http://www.globalforestwatch.org/map/13/52.203299/104.494100/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 286","default","МБОУ Гимназия № 25","г. Иркутск","Russia","","Poor","No","","Yes","","25-50%","25-50%","Yes","Yes","Large amount","Very large amount","No","No","25-50%","50-75%","No","No","Yes","I don't know","Normal","Yes","0-1km","more than 10 km","4/30/2016","52.135532","104.578514","http://www.globalforestwatch.org/map/13/52.135532/104.578514/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/104.578514/http://www.globalforestwatch.org/map/13/52.135532/104.578514/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 287","default","МБОУ Гимназия № 25","г. Иркутск","Russia","","Poor","No","","No","","50-75%","25-50%","Yes","Yes","Small amount","Small amount","No","No","25-50%","25-50%","No","No","Yes","I don't know","I don't know","Yes","0-1km","2-5km","3/23/2016","52.238071","104.458179","http://www.globalforestwatch.org/map/13/52.238071/104.458179/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/104.458179/http://www.globalforestwatch.org/map/13/52.238071/104.458179/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 252","default","МКОУ СОШ № 2","г. Людиново, Калужская область","Russia","участок со сплошной вырубкой, окружен лесом с большим количеством высохших хвойных деревьев","Poor","Yes","","No","","25-50%","50-75%","Yes","Yes","Small amount","Very large amount","Yes","No","25-50%","50-75%","No","Yes","Yes","Normal","Warmer","Yes","0-1km","0-1km","5/11/2016","53.849691","34.467024","http://www.globalforestwatch.org/map/13/53.849691/34.467024/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/34.467024/http://www.globalforestwatch.org/map/13/53.849691/34.467024/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 253","default","МКОУ СОШ № 2","г. Людиново, Калужская область","Russia","сплошная вырубка, окружена лесом с большим количеством высохших хвойных деревтев","Poor","Yes","жук типограф","No","","25-50%","50-75%","Yes","Yes","Large amount","Large amount","Yes","No","25-50%","50-75%","No","Yes","Yes","Normal","Warmer","Yes","0-1km","0-1km","4/30/2016","53.849673","34.467067","http://www.globalforestwatch.org/map/13/53.849673/34.467067/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/34.467067/http://www.globalforestwatch.org/map/13/53.849673/34.467067/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 254","default","МКОУ СОШ № 2","г. Людиново, Калужская область","Russia","сплошная вырубка, окружена лесом с большим количеством сухостоя","Poor","Yes","жук типограф","No","","50-75%","25-50%","Yes","Yes","Large amount","Large amount","Yes","No","25-50%","50-75%","No","Yes","Yes","Normal","Warmer","Yes","0-1km","0-1km","4/30/2016","53.84931","34.469284","http://www.globalforestwatch.org/map/13/53.849310/34.469284/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/34.469284/http://www.globalforestwatch.org/map/13/53.849310/34.469284/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 255","default","МКОУ СОШ № 2","г. Людиново, Калужская область","Russia","сплошная вырубка.\nпосадка сосны.\nв окружении лес с высохшими хвойными деревьями","Poor","Yes","","No","","Above 75%","Below 25%","No","Yes","Large amount","Small amount","Yes","No","25-50%","50-75%","No","Yes","Yes","Normal","Warmer","Yes","0-1km","0-1km","5/2/2016","53.885511","34.413616","http://www.globalforestwatch.org/map/13/53.885511/34.413616/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/34.413616/http://www.globalforestwatch.org/map/13/53.885511/34.413616/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 261","default","МКОУ СОШ № 2","г. Людиново, Калужская область","Russia","Вырубка леса под строительство дорожной развязки","Fair","I don't know","","No","","50-75%","25-50%","Yes","Yes","Small amount","Small amount","Yes","No","25-50%","50-75%","No","Yes","No","Normal","Warmer","No","0-1km","1-2km","4/6/2016","54.52737","35.98502","http://www.globalforestwatch.org/map/13/54.527370/35.985020/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/35.985020/http://www.globalforestwatch.org/map/13/54.527370/35.985020/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 262","default","МКОУ СОШ № 2","г. Людиново, Калужская область","Russia","Вырубка леса под строительство дорожной развязки","Fair","I don't know","","No","","50-75%","25-50%","Yes","Yes","Small amount","Small amount","Yes","No","25-50%","50-75%","No","I don't know","No","Normal","Warmer","No","0-1km","1-2km","4/6/2016","54.585543","36.07392","http://www.globalforestwatch.org/map/13/54.585543/36.073920/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/36.073920/http://www.globalforestwatch.org/map/13/54.585543/36.073920/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 263","default","МКОУ СОШ № 2","г. Людиново, Калужская область","Russia","Вырубка леса под строительство дорожной развязки","Fair","I don't know","","No","","50-75%","25-50%","Yes","Yes","Small amount","Small amount","Yes","No","25-50%","50-75%","No","I don't know","No","Normal","Warmer","No","0-1km","1-2km","4/6/2016","54.586289","36.074767","http://www.globalforestwatch.org/map/13/54.586289/36.074767/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/36.074767/http://www.globalforestwatch.org/map/13/54.586289/36.074767/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 264","default","МКОУ СОШ № 2","г. Людиново, Калужская область","Russia","сильный ветер ломает верхушки деревьев лесополосы вдоль дороги. За лесополосой сплошная вырубка","Poor","No","","No","","50-75%","25-50%","Yes","Yes","Small amount","Small amount","Yes","No","25-50%","50-75%","No","Yes","Yes","Normal","Warmer","Yes","0-1km","1-2km","7/30/2015","54.042369","34.320592","http://www.globalforestwatch.org/map/13/54.042369/34.320592/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/34.320592/http://www.globalforestwatch.org/map/13/54.042369/34.320592/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
"Photo 265","default","МКОУ СОШ № 2","г. Людиново, Калужская область","Russia","сильный ветер ломает верхушки деревьев оставшейся после вырубки деревьев","Poor","I don't know","","No","","50-75%","25-50%","Yes","Yes","Small amount","Small amount","Yes","No","25-50%","50-75%","No","Yes","Yes","Normal","Warmer","Yes","0-1km","1-2km","7/30/2015","54.040189","34.323134","http://www.globalforestwatch.org/map/13/54.040189/34.323134/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true","http://www.globalforestwatch.org/map/13/34.323134/http://www.globalforestwatch.org/map/13/54.040189/34.323134/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true/ALL/grayscale/loss,forestgain,forest2000/612?begin=2001-01-01&end=2015-01-01&threshold=30&dont_analyze=true"
